iso3,country,hdicode,region,gdi_2010,gdi_2019,
AFG,Afghanistan,Low,SA,0.627,0.712,
AGO,Angola,Medium,SSA,0.867,0.902,
ALB,Albania,High,ECA,0.96,1.002,
AND,Andorra,Very High,,,,
ARE,United Arab Emirates,Very High,AS,0.921,0.955,
ARG,Argentina,Very High,LAC,0.995,1,
ARM,Armenia,High,ECA,0.974,0.993,
ATG,Antigua and Barbuda,High,LAC,,,
AUS,Australia,Very High,,0.962,0.969,
AUT,Austria,Very High,,0.964,0.968,
AZE,Azerbaijan,High,ECA,0.958,0.956,
BDI,Burundi,Low,SSA,0.906,0.937,
BEL,Belgium,Very High,,0.971,0.975,
BEN,Benin,Low,SSA,0.833,0.877,
BFA,Burkina Faso,Low,SSA,0.852,0.902,
BGD,Bangladesh,Medium,SA,0.837,0.9,
BGR,Bulgaria,High,,0.992,0.994,
BHR,Bahrain,Very High,AS,0.943,0.934,
BHS,Bahamas,Very High,LAC,,,
BIH,Bosnia and Herzegovina,High,ECA,0.935,0.933,
BLR,Belarus,Very High,ECA,1.027,1.012,
BLZ,Belize,Medium,LAC,0.951,0.968,
BOL,Bolivia (Plurinational State of),Medium,LAC,0.933,0.95,
BRA,Brazil,High,LAC,0.992,0.992,
BRB,Barbados,High,LAC,1.016,1.038,
BRN,Brunei Darussalam,Very High,EAP,0.974,0.984,
BTN,Bhutan,Medium,SA,0.921,0.941,
BWA,Botswana,Medium,SSA,0.97,0.974,
CAF,Central African Republic,Low,SSA,0.776,0.808,
CAN,Canada,Very High,,0.982,0.988,
CHE,Switzerland,Very High,,0.965,0.967,
CHL,Chile,Very High,LAC,0.961,0.966,
CHN,China,High,EAP,0.952,0.984,
CIV,Côte d'Ivoire,Medium,SSA,0.832,0.878,
CMR,Cameroon,Medium,SSA,0.856,0.882,
COD,Congo (Democratic Republic of the),Low,SSA,0.816,0.882,
COG,Congo,Medium,SSA,0.913,0.935,
COL,Colombia,High,LAC,0.991,0.991,
COM,Comoros,Medium,SSA,0.865,0.891,
CPV,Cabo Verde,Medium,SSA,0.978,0.981,
CRI,Costa Rica,Very High,LAC,0.967,0.988,
CUB,Cuba,High,LAC,0.967,0.959,
CYP,Cyprus,Very High,,0.963,0.975,
CZE,Czechia,Very High,,0.975,0.985,
DEU,Germany,Very High,,0.962,0.975,
DJI,Djibouti,Low,AS,,,
DMA,Dominica,High,LAC,,,
DNK,Denmark,Very High,,0.99,0.981,
DOM,Dominican Republic,High,LAC,0.983,1.013,
DZA,Algeria,High,AS,0.838,0.88,
ECU,Ecuador,High,LAC,0.966,0.969,
EGY,Egypt,High,AS,0.863,0.898,
ERI,Eritrea,Low,SSA,,,
ESP,Spain,Very High,,0.98,0.984,
EST,Estonia,Very High,,1.029,1.023,
ETH,Ethiopia,Low,SSA,0.85,0.917,
FIN,Finland,Very High,,1.005,0.989,
FJI,Fiji,High,EAP,0.939,0.936,
FRA,France,Very High,,0.989,0.991,
FSM,Micronesia (Federated States of),Medium,EAP,,,
GAB,Gabon,High,SSA,0.915,0.903,
